番号,駅名,ふりがな,所在地（都道府県・市町村名）,乗り入れ路線名１（上位２路線）,乗り入れ路線名２（上位２路線）
1,相老,あいおい,群馬県桐生市,東武桐生線,わたらせ渓谷鐵道わたらせ渓谷線
2,相生,あいおい,岐阜県八幡町,長良川鉄道越美南線,
3,相生,あいおい,兵庫県相生市,ＪＲ西日本　山陽新幹線,ＪＲ西日本　山陽本線
4,相賀,あいが,三重県海山町,ＪＲ東海　紀勢本線,
5,愛冠,あいかっぷ,北海道足寄町,北海道ちほく高原鉄道ふるさと銀河線,
6,秋鹿町,あいかまち,島根県松江市,一畑電気鉄道北松江線,
7,合川,あいかわ,秋田県合川町,秋田内陸縦貫鉄道秋田内陸線,
8,相川,あいかわ,大阪府大阪市東淀川区,阪急京都本線,
9,愛甲石田,あいこういしだ,神奈川県厚木市,小田急小田原線,
10,愛山,あいざん,北海道愛別町,ＪＲ北海道　石北本線,
11,愛大医学部南口,あいだいいがくぶみなみぐち,愛媛県重信町,伊予鉄道横河原線,
12,愛知御津,あいちみと,愛知県御津町,ＪＲ東海　東海道本線,
13,会津荒海,あいづあらかい,福島県田島町,会津鉄道会津線,
14,会津大塩,あいづおおしお,福島県金山町,ＪＲ東日本　只見線,
15,会津蒲生,あいづがもう,福島県只見町,ＪＲ東日本　只見線,
16,会津川口,あいづかわぐち,福島県金山町,ＪＲ東日本　只見線,
17,相月,あいづき,静岡県佐久間町,ＪＲ東海　飯田線,
18,会津高原,あいづこうげん,福島県田島町,会津鉄道会津線,野岩鉄道会津鬼怒川線
19,会津越川,あいづこすがわ,福島県金山町,ＪＲ東日本　只見線,
20,会津坂本,あいづさかもと,福島県会津坂下町,ＪＲ東日本　只見線,
21,会津山村道場,あいづさんそんどうじょう,福島県田島町,会津鉄道会津線,
22,会津塩沢,あいづしおざわ,福島県只見町,ＪＲ東日本　只見線,
23,会津下郷,あいづしもごう,福島県下郷町,会津鉄道会津線,
24,会津高田,あいづたかだ,福島県会津高田町,ＪＲ東日本　只見線,
25,会津田島,あいづたじま,福島県田島町,会津鉄道会津線,
26,会津豊川,あいづとよかわ,福島県喜多方市,ＪＲ東日本　磐越西線,
27,会津中川,あいづなかがわ,福島県金山町,ＪＲ東日本　只見線,
28,会津長野,あいづながの,福島県田島町,会津鉄道会津線,
29,会津西方,あいづにしかた,福島県三島町,ＪＲ東日本　只見線,
30,会津坂下,あいづばんげ,福島県会津坂下町,ＪＲ東日本　只見線,
31,会津桧原,あいづひのはら,福島県三島町,ＪＲ東日本　只見線,
32,会津本郷,あいづほんごう,福島県北会津村,ＪＲ東日本　只見線,
33,逢妻,あいづま,愛知県刈谷市,ＪＲ東海　東海道本線,
34,会津水沼,あいづみずぬま,福島県金山町,ＪＲ東日本　只見線,
35,会津宮下,あいづみやした,福島県三島町,ＪＲ東日本　只見線,
36,会津柳津,あいづやないづ,福島県柳津町,ＪＲ東日本　只見線,
37,会津横田,あいづよこた,福島県金山町,ＪＲ東日本　只見線,
38,会津若松,あいづわかまつ,福島県会津若松市,ＪＲ東日本　磐越西線,ＪＲ東日本　只見線
39,藍那,あいな,兵庫県神戸市北区,神戸電鉄粟生線,
40,愛野,あいの,静岡県袋井市,ＪＲ東海　東海道本線,
41,相野,あいの,兵庫県三田市,ＪＲ西日本　福知山線,
42,愛野,あいの,長崎県愛野町,島原鉄道,
43,相浦,あいのうら,長崎県佐世保市,松浦鉄道西九州線,
44,相ノ木,あいのき,富山県上市町,富山地方鉄道本線,
45,あいの里教育大,あいのさときょういくだい,北海道札幌市北区,ＪＲ北海道　札沼線,
46,あいの里公園,あいのさとこうえん,北海道札幌市北区,ＪＲ北海道　札沼線,
47,相内,あいのない,北海道北見市,ＪＲ北海道　石北本線,
48,相野々,あいのの,秋田県山内村,ＪＲ東日本　北上線,
49,相羽,あいば,岐阜県大野町,＃名鉄揖斐線,
50,相原,あいはら,東京都町田市,ＪＲ東日本　横浜線,
51,愛別,あいべつ,北海道愛別町,ＪＲ北海道　石北本線,
52,愛本,あいもと,富山県宇奈月町,富山地方鉄道本線,
53,藍本,あいもと,兵庫県三田市,ＪＲ西日本　福知山線,
54,姶良,あいら,鹿児島県姶良町,ＪＲ九州　日豊本線,
55,アイランド北口,あいらんどきたぐち,兵庫県神戸市東灘区,神戸新交通六甲アイランド線,
56,アイランドセンター,あいらんどせんたー,兵庫県神戸市東灘区,神戸新交通六甲アイランド線,
57,粟生,あお,兵庫県小野市,ＪＲ西日本　加古川線,神戸電鉄粟生線
58,青井岳,あおいだけ,宮崎県山之口町,ＪＲ九州　日豊本線,
59,粟生津,あおうづ,新潟県吉田町,ＪＲ東日本　越後線,
60,青倉,あおくら,兵庫県朝来町,ＪＲ西日本　播但線,
61,青笹,あおざさ,岩手県遠野市,ＪＲ東日本　釜石線,
62,青島,あおしま,宮崎県宮崎市,ＪＲ九州　日南線,
63,青塚,あおつか,愛知県津島市,名鉄津島線,
64,青砥,あおと,東京都葛飾区,京成本線,京成押上線
65,青沼,あおぬま,長野県臼田町,ＪＲ東日本　小海線,
66,青野ヶ原,あおのがはら,兵庫県小野市,ＪＲ西日本　加古川線,
67,青郷,あおのごう,福井県高浜町,ＪＲ西日本　小浜線,
68,青野山,あおのやま,島根県津和野町,ＪＲ西日本　山口線,
69,青葉,あおば,北海道苫小牧市,ＪＲ北海道　室蘭本線,
70,青葉台,あおばだい,神奈川県横浜市青葉区,東急田園都市線,
71,あおば通,あおばどおり,宮城県仙台市青葉区,ＪＲ東日本　仙石線,
72,青原,あおはら,島根県日原町,ＪＲ西日本　山口線,
73,青部,あおべ,静岡県本川根町,大井川鐵道大井川本線,
74,青海,あおみ,東京都江東区,ゆりかもめ東京臨海新交通臨海線,
75,青堀,あおほり,千葉県富津市,ＪＲ東日本　内房線,
76,青物横丁,あおものよこちょう,東京都品川区,京急本線,
77,青森,あおもり,青森県青森市,ＪＲ東日本　東北本線,ＪＲ東日本　奥羽本線
78,青谷,あおや,鳥取県青谷町,ＪＲ西日本　山陰本線,
79,青柳,あおやぎ,長野県茅野市,ＪＲ東日本　中央本線,
80,青柳町,あおやぎちょう,北海道函館市,＃函館市営[宝来・谷地頭線],
81,青山,あおやま,新潟県新潟市,ＪＲ東日本　越後線,
82,青山一丁目,あおやまいっちょうめ,東京都港区,営団銀座線,営団半蔵門線
83,青山町,あおやまちょう,三重県青山町,近鉄大阪線,
84,赤井,あかい,福島県いわき市,ＪＲ東日本　磐越東線,
85,赤井川,あかいがわ,北海道森町,ＪＲ北海道　函館本線,
86,赤池,あかいけ,岐阜県美並村,長良川鉄道越美南線,
87,赤池,あかいけ,愛知県日進市,名鉄豊田線,名古屋市営鶴舞線
88,赤池,あかいけ,福岡県赤池町,平成筑豊鉄道伊田線,
89,赤岩,あかいわ,福島県福島市,ＪＲ東日本　奥羽本線,
90,赤岩口,あかいわぐち,愛知県豊橋市,＃豊橋鉄道東田本線,
91,あかおか,あかおか,高知県赤岡町,土佐くろしお鉄道阿佐線,
92,赤川,あかがわ,青森県むつ市,ＪＲ東日本　大湊線,
93,赤城,あかぎ,群馬県大間々町,東武桐生線,上毛電気鉄道上毛線
